Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),CO,Ozone,PM10,PM25,NO2,Year,Month,Month_Name,Year-Month,Week,Day
,71,PM2.5,Hyderabad,6.0,23.0,51.0,71.0,36.0,,,,NaT,,
,68,PM2.5,Hyderabad,4.987004548408057,26.0,38.0,68.0,41.0,,,,NaT,,
,62,PM2.5,Hyderabad,4.987004548408057,30.0,35.0,62.0,28.0,,,,NaT,,
,58,PM2.5,Hyderabad,6.0,34.0,22.0,58.0,34.0,,,,NaT,,
,48,PM2.5,Hyderabad,7.0,33.0,25.0,48.0,33.0,,,,NaT,,
,37,Ozone,Bangalore,3.0,37.0,13.0,26.0,27.0,,,,NaT,,
,40,NO2,Hyderabad,6.0,36.0,15.0,31.0,40.0,,,,NaT,,
,30,NO2,Bangalore,2.0,39.00232018561485,7.0,16.0,30.0,,,,NaT,,
,56,PM2.5,Hyderabad,4.987004548408057,22.0,20.0,56.0,35.0,,,,NaT,,
2025-01-02,37,Ozone,Bangalore,4.987004548408057,37.0,6.0,25.0,18.0,2025.0,1.0,January,2025-01,1,Thursday
2025-02-02,32,Ozone,Bangalore,5.0,32.0,8.0,31.0,23.0,2025.0,2.0,February,2025-02,5,Sunday
2025-03-02,68,PM2.5,Hyderabad,5.0,16.0,31.0,68.0,37.0,2025.0,3.0,March,2025-03,9,Sunday
2025-04-02,36,Ozone,Bangalore,4.987004548408057,36.0,8.0,27.0,29.0,2025.0,4.0,April,2025-04,14,Wednesday
2025-05-02,37,Ozone,Bangalore,3.0,37.0,5.0,16.0,30.0,2025.0,5.0,May,2025-05,18,Friday
2025-06-02,57,PM2.5,Hyderabad,6.0,14.0,17.0,57.0,33.0,2025.0,6.0,June,2025-06,23,Monday
2025-07-02,47,PM2.5,Hyderabad,6.0,35.0,14.0,47.0,24.0,2025.0,7.0,July,2025-07,27,Wednesday
2025-08-02,36,Ozone,Bangalore,6.0,36.0,13.0,31.0,19.0,2025.0,8.0,August,2025-08,31,Saturday
2025-09-02,40,PM2.5,Hyderabad,7.0,35.0,9.0,40.0,38.0,2025.0,9.0,September,2025-09,36,Tuesday
2025-10-02,52,PM2.5,Bangalore,8.0,39.0,14.0,52.0,39.0,2025.0,10.0,October,2025-10,40,Thursday
2025-11-02,62,PM2.5,Hyderabad,5.0,31.0,41.0,62.0,42.0,2025.0,11.0,November,2025-11,44,Sunday
2025-12-02,56,PM2.5,Hyderabad,4.987004548408057,36.0,16.0,56.0,37.0,2025.0,12.0,December,2025-12,49,Tuesday
,40,Ozone,Bangalore,4.987004548408057,40.0,6.0,29.0,35.0,,,,NaT,,
,40,Ozone,Bangalore,4.987004548408057,40.0,5.0,17.0,11.0,,,,NaT,,
,37,Ozone,Bangalore,5.0,37.0,10.0,33.0,26.0,,,,NaT,,
,35,Ozone,Bangalore,5.0,35.0,7.0,28.0,17.0,,,,NaT,,
,40,Ozone,Bangalore,3.0,40.0,7.0,17.0,11.0,,,,NaT,,
,37,Ozone,Bangalore,3.0,37.0,12.0,19.0,18.0,,,,NaT,,
,35,Ozone,Bangalore,2.0,35.0,5.0,13.0,14.0,,,,NaT,,
,31,Ozone,Bangalore,4.987004548408057,31.0,7.0,21.0,29.0,,,,NaT,,
,37,Ozone,Bangalore,2.0,37.0,6.0,14.0,10.0,,,,NaT,,
,42,Ozone,Bangalore,6.0,42.0,14.0,32.0,25.0,,,,NaT,,
,59,PM2.5,Hyderabad,7.0,45.0,19.0,59.0,29.0,,,,NaT,,
,64,PM2.5,Hyderabad,6.0,46.0,28.0,64.0,43.0,,,,NaT,,
,55,PM2.5,Hyderabad,6.0,43.0,31.0,55.0,35.0,,,,NaT,,
,42,Ozone,Bangalore,5.0,42.0,8.0,29.0,32.0,,,,NaT,,
,56,PM2.5,Hyderabad,7.0,19.0,18.0,56.0,32.0,,,,NaT,,
,39,Ozone,Bangalore,5.0,39.0,6.0,19.0,35.0,,,,NaT,,
2025-01-03,41,Ozone,Delhi,5.0,41.0,14.0,32.0,16.0,2025.0,1.0,January,2025-01,1,Friday
2025-02-03,41,Ozone,Bangalore,2.0,41.0,5.0,17.0,7.0,2025.0,2.0,February,2025-02,6,Monday
2025-03-03,41,Ozone,Bangalore,5.0,41.0,8.0,26.0,40.0,2025.0,3.0,March,2025-03,10,Monday
2025-04-03,56,PM2.5,Hyderabad,6.0,45.0,22.0,56.0,36.0,2025.0,4.0,April,2025-04,14,Thursday
2025-05-03,44,Ozone,Bangalore,4.987004548408057,44.0,20.0,42.0,25.0,2025.0,5.0,May,2025-05,18,Saturday
2025-06-03,42,Ozone,Bangalore,4.987004548408057,42.0,10.0,28.0,23.0,2025.0,6.0,June,2025-06,23,Tuesday
2025-07-03,44,Ozone,Bangalore,4.987004548408057,44.0,6.0,12.0,22.0,2025.0,7.0,July,2025-07,27,Thursday
2025-08-03,44,Ozone,Bangalore,5.0,44.0,6.0,18.0,29.0,2025.0,8.0,August,2025-08,31,Sunday
2025-09-03,42,Ozone,Bangalore,1.0,42.0,8.0,29.0,42.0,2025.0,9.0,September,2025-09,36,Wednesday
2025-10-03,47,Ozone,Delhi,4.987004548408057,47.0,12.0,34.0,35.0,2025.0,10.0,October,2025-10,40,Friday
2025-11-03,54,Ozone,Bangalore,4.987004548408057,54.0,16.0,43.0,40.0,2025.0,11.0,November,2025-11,45,Monday
2025-12-03,44,Ozone,Bangalore,4.987004548408057,44.0,7.0,20.0,38.0,2025.0,12.0,December,2025-12,49,Wednesday
,46,Ozone,Bangalore,4.987004548408057,46.0,11.0,22.0,21.0,,,,NaT,,
,48,Ozone,Visakhapatnam,4.987004548408057,48.0,16.0,34.0,21.0,,,,NaT,,
,49,Ozone,Visakhapatnam,4.987004548408057,49.0,8.0,30.0,14.0,,,,NaT,,
,49,PM2.5,Hyderabad,4.987004548408057,44.0,18.0,49.0,22.0,,,,NaT,,
,44,Ozone,Visakhapatnam,4.987004548408057,44.0,6.0,18.0,27.0,,,,NaT,,
,38,Ozone,Bangalore,4.987004548408057,38.0,8.0,22.0,37.0,,,,NaT,,
,45,Ozone,Visakhapatnam,4.987004548408057,45.0,15.0,39.0,28.0,,,,NaT,,
,33,Ozone,Visakhapatnam,4.987004548408057,33.0,6.0,18.0,20.0,,,,NaT,,
,42,Ozone,Bangalore,4.987004548408057,42.0,4.0,12.0,9.0,,,,NaT,,
,46,Ozone,Delhi,4.987004548408057,46.0,8.0,21.0,30.0,,,,NaT,,
,38,Ozone,Delhi,4.987004548408057,38.0,6.0,22.0,30.0,,,,NaT,,
,40,Ozone,Delhi,4.987004548408057,40.0,10.0,34.0,28.0,,,,NaT,,
,45,Ozone,Delhi,4.987004548408057,45.0,11.0,41.0,27.0,,,,NaT,,
,39,Ozone,Bangalore,6.0,39.0,8.0,26.0,28.0,,,,NaT,,
,39,Ozone,Bangalore,5.0,39.0,6.0,18.0,36.0,,,,NaT,,
,48,Ozone,Bangalore,6.0,48.0,11.0,28.0,33.0,,,,NaT,,
,51,PM2.5,Hyderabad,5.0,35.0,13.0,51.0,20.0,,,,NaT,,
,46,PM2.5,Hyderabad,3.0,36.0,12.0,46.0,9.0,,,,NaT,,
,53,PM2.5,Hyderabad,3.0,35.0,17.0,53.0,25.0,,,,NaT,,
2025-01-04,44,Ozone,Bangalore,4.987004548408057,44.0,5.0,16.0,21.0,2025.0,1.0,January,2025-01,1,Saturday
2025-02-04,45,Ozone,Visakhapatnam,4.987004548408057,45.0,8.0,22.0,14.0,2025.0,2.0,February,2025-02,6,Tuesday
2025-03-04,51,PM2.5,Hyderabad,4.987004548408057,41.0,17.0,51.0,29.0,2025.0,3.0,March,2025-03,10,Tuesday
2025-04-04,44,Ozone,Bangalore,4.987004548408057,44.0,8.0,26.0,28.0,2025.0,4.0,April,2025-04,14,Friday
2025-05-04,39,Ozone,Delhi,5.0,39.0,9.0,24.0,24.0,2025.0,5.0,May,2025-05,18,Sunday
2025-06-04,45,Ozone,Delhi,3.0,45.0,6.0,24.0,14.0,2025.0,6.0,June,2025-06,23,Wednesday
2025-07-04,32,Ozone,Delhi,3.0,32.0,6.0,22.0,17.0,2025.0,7.0,July,2025-07,27,Friday
2025-08-04,37,Ozone,Bangalore,5.0,37.0,6.0,22.0,19.0,2025.0,8.0,August,2025-08,32,Monday
2025-09-04,41,Ozone,Bangalore,2.0,41.0,6.0,18.0,20.0,2025.0,9.0,September,2025-09,36,Thursday
2025-10-04,51,Ozone,Bangalore,4.987004548408057,51.0,12.0,36.0,37.0,2025.0,10.0,October,2025-10,40,Saturday
2025-11-04,45,Ozone,Visakhapatnam,4.987004548408057,45.0,8.0,32.0,15.0,2025.0,11.0,November,2025-11,45,Tuesday
2025-12-04,45,Ozone,Visakhapatnam,4.987004548408057,45.0,3.0,13.0,6.0,2025.0,12.0,December,2025-12,49,Thursday
,40,Ozone,Bangalore,2.0,40.0,3.0,12.0,15.0,,,,NaT,,
,50,Ozone,Delhi,5.0,50.0,10.0,27.0,32.0,,,,NaT,,
,50,PM2.5,Hyderabad,4.987004548408057,43.0,16.0,50.0,28.0,,,,NaT,,
,38,Ozone,Bangalore,4.987004548408057,38.0,3.0,7.0,8.0,,,,NaT,,
,47,Ozone,Delhi,3.0,47.0,6.0,18.0,35.0,,,,NaT,,
,74,Ozone,Visakhapatnam,7.0,74.0,15.0,32.0,37.0,,,,NaT,,
,97,Ozone,Delhi,3.0,97.0,28.0,63.0,21.0,,,,NaT,,
,42,Ozone,Bangalore,4.987004548408057,42.0,5.0,15.0,7.0,,,,NaT,,
,45,Ozone,Delhi,3.0,45.0,9.0,22.0,17.0,,,,NaT,,
,67,Ozone,Delhi,3.0,67.0,16.0,42.0,25.0,,,,NaT,,
,58,Ozone,Bangalore,4.987004548408057,58.0,9.0,23.0,31.0,,,,NaT,,
,101,Ozone,Bangalore,3.0,101.0,19.0,51.0,27.0,,,,NaT,,
,97,Ozone,Visakhapatnam,3.0,97.0,21.0,52.0,29.0,,,,NaT,,
,39,Ozone,Delhi,4.987004548408057,39.0,12.0,38.0,12.0,,,,NaT,,
,33,Ozone,Delhi,2.0,33.0,3.0,8.0,25.0,,,,NaT,,
,54,Ozone,Delhi,3.0,54.0,11.0,25.0,35.0,,,,NaT,,
,80,Ozone,Visakhapatnam,4.987004548408057,80.0,18.0,34.0,28.0,,,,NaT,,
,41,Ozone,Delhi,2.0,41.0,10.0,23.0,19.0,,,,NaT,,
2025-01-05,61,Ozone,Bangalore,5.0,61.0,12.0,23.0,23.0,2025.0,1.0,January,2025-01,1,Sunday
2025-02-05,80,Ozone,Visakhapatnam,3.0,80.0,19.0,54.0,24.0,2025.0,2.0,February,2025-02,6,Wednesday
2025-03-05,55,PM2.5,Bangalore,4.987004548408057,51.0,19.0,55.0,17.0,2025.0,3.0,March,2025-03,10,Wednesday
2025-04-05,49,PM2.5,Hyderabad,4.987004548408057,42.0,19.0,49.0,11.0,2025.0,4.0,April,2025-04,14,Saturday
2025-05-05,29,Ozone,Delhi,4.987004548408057,29.0,6.0,18.0,12.0,2025.0,5.0,May,2025-05,19,Monday
2025-06-05,40,Ozone,Bangalore,4.987004548408057,40.0,9.0,26.0,20.0,2025.0,6.0,June,2025-06,23,Thursday
2025-07-05,45,Ozone,Delhi,4.987004548408057,45.0,14.0,37.0,21.0,2025.0,7.0,July,2025-07,27,Saturday
2025-08-05,42,Ozone,Delhi,4.987004548408057,42.0,10.0,25.0,23.0,2025.0,8.0,August,2025-08,32,Tuesday
2025-09-05,38,Ozone,Delhi,4.987004548408057,38.0,9.0,28.0,16.0,2025.0,9.0,September,2025-09,36,Friday
2025-10-05,40,Ozone,Visakhapatnam,4.987004548408057,40.0,7.0,18.0,30.0,2025.0,10.0,October,2025-10,40,Sunday
2025-11-05,51,Ozone,Bangalore,3.0,51.0,11.0,32.0,24.0,2025.0,11.0,November,2025-11,45,Wednesday
2025-12-05,101,Ozone,Delhi,5.0,101.0,15.0,33.0,22.0,2025.0,12.0,December,2025-12,49,Friday
,64,Ozone,Delhi,5.0,64.0,17.0,39.0,20.0,,,,NaT,,
,48,Ozone,Bangalore,5.0,48.0,14.0,36.0,17.0,,,,NaT,,
,35,PM2.5,Bangalore,3.0,32.0,11.0,35.0,16.0,,,,NaT,,
,61,Ozone,Delhi,4.987004548408057,61.0,15.0,51.0,21.0,,,,NaT,,
,47,PM2.5,Bangalore,4.987004548408057,46.0,16.0,47.0,13.0,,,,NaT,,
,33,Ozone,Delhi,4.987004548408057,33.0,10.0,20.0,8.0,,,,NaT,,
,29,Ozone,Delhi,2.0,29.0,6.0,9.0,2.0,,,,NaT,,
,24,Ozone,Bangalore,3.0,24.0,6.0,12.0,8.0,,,,NaT,,
,32,Ozone,Bangalore,2.0,32.0,8.0,19.0,3.0,,,,NaT,,
,29,Ozone,Bangalore,2.0,29.0,6.0,13.0,5.0,,,,NaT,,
,28,Ozone,Bangalore,1.0,28.0,6.0,17.0,12.0,,,,NaT,,
,27,Ozone,Bangalore,4.987004548408057,27.0,6.0,12.0,10.0,,,,NaT,,
,29,Ozone,Bangalore,2.0,29.0,4.0,13.0,5.0,,,,NaT,,
,40,Ozone,Bangalore,5.0,40.0,7.0,27.0,10.0,,,,NaT,,
,45,Ozone,Delhi,6.0,45.0,12.0,34.0,11.0,,,,NaT,,
,46,Ozone,Visakhapatnam,4.987004548408057,46.0,12.0,29.0,13.0,,,,NaT,,
,36,Ozone,Bangalore,5.0,36.0,8.0,26.0,8.0,,,,NaT,,
,49,PM2.5,Bangalore,5.0,41.0,15.0,49.0,9.0,,,,NaT,,
,36,Ozone,Delhi,4.987004548408057,36.0,6.0,17.0,4.0,,,,NaT,,
2025-01-06,32,Ozone,Delhi,3.0,32.0,6.0,15.0,11.0,2025.0,1.0,January,2025-01,2,Monday
2025-02-06,42,Ozone,Delhi,5.0,42.0,7.0,21.0,13.0,2025.0,2.0,February,2025-02,6,Thursday
2025-03-06,58,Ozone,Delhi,6.0,58.0,13.0,33.0,24.0,2025.0,3.0,March,2025-03,10,Thursday
2025-04-06,115,Ozone,Bangalore,3.0,115.0,19.0,47.0,29.0,2025.0,4.0,April,2025-04,14,Sunday
2025-05-06,164,Ozone,Bangalore,4.987004548408057,164.0,31.0,70.0,29.0,2025.0,5.0,May,2025-05,19,Tuesday
2025-06-06,105,Ozone,Bangalore,4.987004548408057,105.0,29.0,71.0,21.0,2025.0,6.0,June,2025-06,23,Friday
2025-07-06,57,PM2.5,Bangalore,4.987004548408057,31.0,19.0,57.0,13.0,2025.0,7.0,July,2025-07,27,Sunday
2025-08-06,81,PM2.5,Bangalore,4.987004548408057,42.0,34.0,81.0,12.0,2025.0,8.0,August,2025-08,32,Wednesday
2025-09-06,71,PM2.5,Bangalore,4.987004548408057,43.0,28.0,71.0,19.0,2025.0,9.0,September,2025-09,36,Saturday
2025-10-06,33,PM2.5,Bangalore,4.987004548408057,24.0,10.0,33.0,25.0,2025.0,10.0,October,2025-10,41,Monday
2025-11-06,77,Ozone,Delhi,4.987004548408057,77.0,28.0,66.0,27.0,2025.0,11.0,November,2025-11,45,Thursday
2025-12-06,84,Ozone,Delhi,4.987004548408057,84.0,33.0,78.0,25.0,2025.0,12.0,December,2025-12,49,Saturday
,72,PM2.5,Bangalore,7.0,54.0,27.0,72.0,18.0,,,,NaT,,
,61,PM2.5,Bangalore,6.0,34.0,18.0,61.0,8.0,,,,NaT,,
,52,PM2.5,Bangalore,3.0,37.0,13.0,52.0,10.0,,,,NaT,,
,48,PM2.5,Hyderabad,4.987004548408057,44.0,15.0,48.0,20.0,,,,NaT,,
,28,PM2.5,Hyderabad,6.0,27.0,9.0,28.0,20.0,,,,NaT,,
,34,Ozone,Bangalore,7.0,34.0,10.0,33.0,23.0,,,,NaT,,
,67,Ozone,Bangalore,6.0,67.0,16.0,46.0,22.0,,,,NaT,,
,52,PM2.5,Bangalore,5.0,40.0,16.0,52.0,13.0,,,,NaT,,
,97,Ozone,Delhi,6.0,97.0,19.0,61.0,21.0,,,,NaT,,
,56,PM2.5,Bangalore,6.0,43.0,18.0,56.0,14.0,,,,NaT,,
,77,Ozone,Delhi,6.0,77.0,27.0,65.0,18.0,,,,NaT,,
,61,PM2.5,Hyderabad,6.0,58.0,27.0,61.0,25.0,,,,NaT,,
,50,PM2.5,Hyderabad,5.0,43.0,20.0,50.0,25.0,,,,NaT,,
,41,PM2.5,Bangalore,4.987004548408057,34.0,14.0,41.0,15.0,,,,NaT,,
,33,Ozone,Visakhapatnam,4.987004548408057,33.0,12.0,28.0,16.0,,,,NaT,,
,80,Ozone,Delhi,6.0,80.0,12.0,42.0,16.0,,,,NaT,,
,42,PM2.5,Bangalore,6.0,42.0,11.0,42.0,16.0,,,,NaT,,
,74,Ozone,Bangalore,4.987004548408057,74.0,16.0,46.0,24.0,,,,NaT,,
2025-01-07,105,Ozone,Delhi,6.0,105.0,18.0,52.0,20.0,2025.0,1.0,January,2025-01,2,Tuesday
2025-02-07,54,Ozone,Delhi,5.0,54.0,17.0,48.0,24.0,2025.0,2.0,February,2025-02,6,Friday
2025-03-07,55,PM2.5,Hyderabad,6.0,54.0,19.0,55.0,21.0,2025.0,3.0,March,2025-03,10,Friday
2025-04-07,68,PM2.5,Bangalore,5.0,35.0,26.0,68.0,23.0,2025.0,4.0,April,2025-04,15,Monday
2025-05-07,75,PM2.5,Bangalore,4.987004548408057,48.0,27.0,75.0,19.0,2025.0,5.0,May,2025-05,19,Wednesday
2025-06-07,119,Ozone,Delhi,6.0,119.0,22.0,65.0,11.0,2025.0,6.0,June,2025-06,23,Saturday
2025-07-07,52,PM2.5,Bangalore,5.0,33.0,17.0,52.0,17.0,2025.0,7.0,July,2025-07,28,Monday
2025-08-07,50,Ozone,Delhi,3.0,50.0,15.0,45.0,24.0,2025.0,8.0,August,2025-08,32,Thursday
2025-09-07,40,Ozone,Delhi,4.987004548408057,40.0,11.0,29.0,17.0,2025.0,9.0,September,2025-09,36,Sunday
2025-10-07,41,Ozone,Bangalore,5.0,41.0,10.0,31.0,13.0,2025.0,10.0,October,2025-10,41,Tuesday
2025-11-07,61,Ozone,Bangalore,6.0,61.0,14.0,43.0,19.0,2025.0,11.0,November,2025-11,45,Friday
2025-12-07,43,Ozone,Bangalore,6.0,43.0,8.0,31.0,11.0,2025.0,12.0,December,2025-12,49,Sunday
,32,Ozone,Bangalore,5.0,32.0,6.0,16.0,9.0,,,,NaT,,
,39,PM2.5,Hyderabad,6.0,31.0,15.0,39.0,18.0,,,,NaT,,
,64,Ozone,Bangalore,6.0,64.0,13.0,33.0,20.0,,,,NaT,,
,90,Ozone,Bangalore,5.0,90.0,14.0,43.0,20.0,,,,NaT,,
,67,Ozone,Delhi,4.987004548408057,67.0,16.0,47.0,19.0,,,,NaT,,
,36,Ozone,Bangalore,4.987004548408057,36.0,8.0,20.0,11.0,,,,NaT,,
,61,Ozone,Bangalore,4.987004548408057,61.0,11.0,29.0,14.0,,,,NaT,,
,45,Ozone,Bangalore,4.987004548408057,45.0,11.0,33.0,15.0,,,,NaT,,
,54,PM2.5,Hyderabad,4.987004548408057,34.0,19.0,54.0,15.0,,,,NaT,,
,35,Ozone,Delhi,4.987004548408057,35.0,9.0,25.0,20.0,,,,NaT,,
,58,Ozone,Bangalore,5.0,58.0,14.0,36.0,21.0,,,,NaT,,
,100,Ozone,Visakhapatnam,5.0,100.0,16.0,44.0,20.0,,,,NaT,,
,67,Ozone,Delhi,3.0,67.0,18.0,53.0,21.0,,,,NaT,,
,112,PM2.5,Bangalore,4.987004548408057,54.0,49.0,112.0,12.0,,,,NaT,,
,99,PM2.5,Bangalore,4.987004548408057,43.0,41.0,99.0,21.0,,,,NaT,,
,68,PM2.5,Bangalore,4.987004548408057,46.0,24.0,68.0,23.0,,,,NaT,,
,64,Ozone,Delhi,4.987004548408057,64.0,21.0,61.0,26.0,,,,NaT,,
,84,Ozone,Delhi,4.987004548408057,84.0,18.0,56.0,21.0,,,,NaT,,
,72,PM2.5,Bangalore,3.0,30.0,25.0,72.0,17.0,,,,NaT,,
2025-01-08,66,PM2.5,Bangalore,6.0,30.0,20.0,66.0,18.0,2025.0,1.0,January,2025-01,2,Wednesday
2025-02-08,41,PM2.5,Hyderabad,6.0,36.0,14.0,41.0,22.0,2025.0,2.0,February,2025-02,6,Saturday
2025-03-08,67,PM2.5,Bangalore,7.0,44.0,23.0,67.0,17.0,2025.0,3.0,March,2025-03,10,Saturday
2025-04-08,91,PM2.5,Bangalore,4.987004548408057,77.0,39.0,91.0,33.0,2025.0,4.0,April,2025-04,15,Tuesday
2025-05-08,127,PM2.5,Bangalore,4.987004548408057,51.0,52.0,127.0,19.0,2025.0,5.0,May,2025-05,19,Thursday
2025-06-08,72,PM2.5,Hyderabad,4.987004548408057,33.0,31.0,72.0,17.0,2025.0,6.0,June,2025-06,23,Sunday
2025-07-08,46,PM2.5,Hyderabad,4.987004548408057,37.0,17.0,46.0,22.0,2025.0,7.0,July,2025-07,28,Tuesday
2025-08-08,40,Ozone,Bangalore,4.987004548408057,40.0,17.0,37.0,20.0,2025.0,8.0,August,2025-08,32,Friday
2025-09-08,64,Ozone,Bangalore,6.0,64.0,17.0,49.0,21.0,2025.0,9.0,September,2025-09,37,Monday
2025-10-08,100,Ozone,Delhi,6.0,100.0,19.0,54.0,17.0,2025.0,10.0,October,2025-10,41,Wednesday
2025-11-08,136,Ozone,Delhi,6.0,136.0,25.0,63.0,19.0,2025.0,11.0,November,2025-11,45,Saturday
2025-12-08,164,Ozone,Bangalore,6.0,164.0,26.0,62.0,18.0,2025.0,12.0,December,2025-12,50,Monday
,84,Ozone,Bangalore,5.0,84.0,15.0,49.0,10.0,,,,NaT,,
,51,Ozone,Delhi,3.0,51.0,14.0,49.0,19.0,,,,NaT,,
,66,PM2.5,Bangalore,3.0,44.0,23.0,66.0,17.0,,,,NaT,,
,60,PM2.5,Bangalore,4.987004548408057,50.0,20.0,60.0,12.0,,,,NaT,,
,93,Ozone,Delhi,4.987004548408057,93.0,19.0,61.0,17.0,,,,NaT,,
,33,Ozone,Bangalore,4.987004548408057,33.0,10.0,21.0,11.0,,,,NaT,,
,34,Ozone,Bangalore,4.987004548408057,34.0,11.0,20.0,15.0,,,,NaT,,
,29,Ozone,Bangalore,4.987004548408057,29.0,8.0,20.0,14.0,,,,NaT,,
,32,Ozone,Bangalore,4.987004548408057,32.0,7.0,21.0,13.0,,,,NaT,,
,37,Ozone,Bangalore,4.987004548408057,37.0,12.0,31.0,25.0,,,,NaT,,
,64,Ozone,Bangalore,4.987004548408057,64.0,14.0,40.0,17.0,,,,NaT,,
,33,Ozone,Bangalore,4.987004548408057,33.0,13.0,29.0,11.0,,,,NaT,,
,44,Ozone,Delhi,4.987004548408057,44.0,14.0,33.0,22.0,,,,NaT,,
,33,Ozone,Delhi,4.987004548408057,33.0,8.0,21.0,23.0,,,,NaT,,
,30,Ozone,Bangalore,4.987004548408057,30.0,8.0,22.0,18.0,,,,NaT,,
,50,Ozone,Bangalore,4.987004548408057,50.0,14.0,29.0,22.0,,,,NaT,,
,45,Ozone,Bangalore,4.987004548408057,45.0,12.0,34.0,24.0,,,,NaT,,
,28,Ozone,Bangalore,3.0,28.0,6.0,24.0,19.0,,,,NaT,,
,31,Ozone,Bangalore,5.0,31.0,7.0,26.0,17.0,,,,NaT,,
2025-01-09,41,PM2.5,Bangalore,5.0,29.0,10.0,41.0,17.0,2025.0,1.0,January,2025-01,2,Thursday
2025-02-09,40,Ozone,Bangalore,5.0,40.0,11.0,39.0,22.0,2025.0,2.0,February,2025-02,6,Sunday
2025-03-09,37,PM2.5,Bangalore,6.0,36.0,14.0,37.0,23.0,2025.0,3.0,March,2025-03,10,Sunday
2025-04-09,46,Ozone,Bangalore,5.0,46.0,14.0,32.0,21.0,2025.0,4.0,April,2025-04,15,Wednesday
2025-05-09,54,Ozone,Bangalore,6.0,54.0,16.0,46.0,22.0,2025.0,5.0,May,2025-05,19,Friday
2025-06-09,52,PM2.5,Bangalore,5.0,38.0,18.0,52.0,12.0,2025.0,6.0,June,2025-06,24,Monday
2025-07-09,45,PM2.5,Bangalore,5.0,33.0,15.0,45.0,11.0,2025.0,7.0,July,2025-07,28,Wednesday
2025-08-09,34,Ozone,Delhi,6.0,34.0,9.0,23.0,27.0,2025.0,8.0,August,2025-08,32,Saturday
2025-09-09,36,Ozone,Bangalore,6.0,36.0,9.0,24.0,14.0,2025.0,9.0,September,2025-09,37,Tuesday
2025-10-09,33,Ozone,Bangalore,5.0,33.0,10.0,26.0,27.0,2025.0,10.0,October,2025-10,41,Thursday
2025-11-09,44,Ozone,Bangalore,5.0,44.0,13.0,37.0,32.0,2025.0,11.0,November,2025-11,45,Sunday
2025-12-09,42,PM2.5,Bangalore,4.987004548408057,38.0,15.0,42.0,18.0,2025.0,12.0,December,2025-12,50,Tuesday
,46,PM2.5,Hyderabad,4.987004548408057,44.0,16.0,46.0,17.0,,,,NaT,,
,52,PM2.5,Hyderabad,4.987004548408057,51.0,16.0,52.0,17.0,,,,NaT,,
,54,PM2.5,Bangalore,4.987004548408057,40.0,15.0,54.0,15.0,,,,NaT,,
,41,PM2.5,Hyderabad,4.987004548408057,34.0,15.0,41.0,25.0,,,,NaT,,
,34,Ozone,Bangalore,3.0,34.0,10.0,26.0,10.0,,,,NaT,,
,41,Ozone,Delhi,6.0,41.0,12.0,29.0,36.0,,,,NaT,,
,42,Ozone,Delhi,7.0,42.0,17.0,37.0,25.0,,,,NaT,,
,36,Ozone,Bangalore,6.0,36.0,11.0,29.0,22.0,,,,NaT,,
,34,Ozone,Bangalore,7.0,34.0,9.0,26.0,19.0,,,,NaT,,
,42,Ozone,Bangalore,6.0,42.0,14.0,30.0,24.0,,,,NaT,,
,49,Ozone,Delhi,3.0,49.0,16.0,41.0,25.0,,,,NaT,,
,35,PM2.5,Bangalore,4.987004548408057,30.0,11.0,35.0,27.0,,,,NaT,,
,28,PM2.5,Hyderabad,4.987004548408057,25.0,11.0,28.0,19.0,,,,NaT,,
,37,Ozone,Delhi,4.987004548408057,37.0,11.0,27.0,20.0,,,,NaT,,
,40,Ozone,Bangalore,4.987004548408057,40.0,13.0,39.0,19.0,,,,NaT,,
,64,Ozone,Delhi,4.987004548408057,64.0,13.0,43.0,34.0,,,,NaT,,
,49,PM2.5,Hyderabad,4.987004548408057,37.0,18.0,49.0,30.0,,,,NaT,,
,46,PM2.5,Bangalore,4.987004548408057,37.0,20.0,46.0,21.0,,,,NaT,,
2025-01-10,27,Ozone,Bangalore,4.987004548408057,27.0,13.40467111534795,19.0,21.362118320610687,2025.0,1.0,January,2025-01,2,Friday
2025-02-10,30,Ozone,Bangalore,4.987004548408057,30.0,13.40467111534795,22.0,21.362118320610687,2025.0,2.0,February,2025-02,7,Monday
2025-03-10,41,Ozone,Bangalore,4.987004548408057,41.0,13.40467111534795,33.0,21.362118320610687,2025.0,3.0,March,2025-03,11,Monday
2025-04-10,57,PM2.5,Bangalore,4.987004548408057,49.0,13.40467111534795,57.0,21.362118320610687,2025.0,4.0,April,2025-04,15,Thursday
2025-05-10,80,Ozone,Bangalore,4.987004548408057,80.0,13.40467111534795,61.0,21.362118320610687,2025.0,5.0,May,2025-05,19,Saturday
2025-06-10,67,Ozone,Bangalore,4.987004548408057,67.0,13.40467111534795,52.0,21.362118320610687,2025.0,6.0,June,2025-06,24,Tuesday
2025-07-10,42,PM2.5,Hyderabad,4.987004548408057,42.0,13.40467111534795,42.0,21.362118320610687,2025.0,7.0,July,2025-07,28,Thursday
2025-08-10,29,Ozone,Bangalore,4.987004548408057,29.0,13.40467111534795,19.0,21.362118320610687,2025.0,8.0,August,2025-08,32,Sunday
